,Name,Rarity,Price
43,Brotherhood of the Fire Fist - Buffalo,Rare,1.51
44,Brotherhood of the Fire Fist - Cardinal,Secret Rare,1.97
45,Brotherhood of the Fire Fist - Caribou,Common,1.33
46,Brotherhood of the Fire Fist - Coyote,Secret Rare,1.67
47,Brotherhood of the Fire Fist - Kirin,Rare,1.56
48,Brotherhood of the Fire Fist - Leopard,Common,1.41
49,Brotherhood of the Fire Fist - Rhino,Rare,1.53
50,Brotherhood of the Fire Fist - Rooster,Secret Rare,2.13
51,Brotherhood of the Fire Fist - Wolf,Common,1.3
52,Bujin Arasuda,Ultra Rare,2.51
53,Bujin Mikazuchi,Ultra Rare,2.23
54,Bujin Regalia - The Jewel,Common,1.3
55,Bujin Regalia - The Mirror,Rare,1.41
56,Bujin Regalia - The Sword,Common,1.35
57,Bujin Yamato,Ultra Rare,2.1
58,Bujincarnation,Rare,1.45
59,Bujinfidel,Common,1.31
60,Bujingi Boar,Common,1.34
61,Bujingi Centipede,Common,1.34
62,Bujingi Crane,Rare,1.37
63,Bujingi Crow,Rare,1.49
64,Bujingi Fox,Rare,1.42
65,Bujingi Hare,Super Rare,2.31
66,Bujingi Ibis,Common,1.28
67,Bujingi Ophidian,Common,1.27
68,Bujingi Pavo,Super Rare,1.34
69,Bujingi Peacock,Rare,1.36
70,Bujingi Quilin,Super Rare,2.23
71,Bujingi Raven,Rare,1.38
72,Bujingi Swallow,Common,1.36
73,Bujingi Turtle,Common,1.31
74,Bujingi Warg,Common,1.2
75,Bujingi Wolf,Common,1.3
76,Bujintei Kagutsuchi,Ultra Rare,3.59
77,Bujintei Susanowo,Ultra Rare,1.58
78,Bujintei Tsukuyomi,Ultra Rare,1.65
79,Bujinunity,Rare,1.32
80,"Celestial Wolf Lord, Blue Sirius",Ultra Rare,1.86
81,Cheepcheepcheep,Common,1.31
82,"Chirubimé, Princess of Autumn Leaves",Super Rare,1.5
83,Chronomaly Moai Carrier,Common,1.29
84,Chronomaly Winged Sphinx,Common,1.31
85,Coach Captain Bearman,Ultra Rare,1.46
86,Coach Soldier Wolfbark,Secret Rare,2.07
87,Cockadoodledoo,Ultra Rare,2.03
88,Constellar Omega,Ultra Rare,2.19
89,Constellar Sombre,Super Rare,2.57
90,Crimson Knight Vampire Bram,Ultra Rare,1.9
91,Divine Dragon Knight Felgrand,Secret Rare,20.5
92,Do a Barrel Roll,Rare,1.32
93,Dododo Buster,Common,1.29
94,Downerd Magician,Secret Rare,7.12
95,Evilswarm Exciton Knight,Secret Rare,23.91
96,Evilswarm Kerykeion,Super Rare,5.18
97,Fencing Fire Ferret,Common,1.38
98,Fire Formation - Gyokkou,Super Rare,1.82
99,Fire Formation - Kaiyo,Common,1.29
100,Fire Formation - Yoko,Super Rare,1.32
101,Fire King Avatar Garunix,Common,1.36
102,Fire King Avatar Yaksha,Super Rare,4.32
103,Fishborg Archer,Common,1.3
104,Five Brothers Explosion,Common,1.27
105,"Flying ""C""",Common,1.37
106,Gagagatag,Common,1.29
107,Gagagawind,Common,1.3
108,Gauntlet Launcher,Ultra Rare,1.69
109,Geargiagear,Super Rare,1.5
110,Genomix Fighter,Ultra Rare,1.31
111,Ghostrick Alucard,Ultra Rare,5.87
112,Ghostrick Dullahan,Rare,1.92
113,Ghostrick Ghoul,Super Rare,2.64
114,Ghostrick Jackfrost,Common,1.38
115,Ghostrick Jiangshi,Common,1.77
116,Ghostrick Lantern,Super Rare,2.79
117,Ghostrick Mansion,Common,3.2
118,Ghostrick Mary,Super Rare,2.09
119,Ghostrick Mummy,Common,1.45
120,Ghostrick Museum,Common,1.65
121,Ghostrick Nekomusume,Common,1.65
122,Ghostrick Scare,Common,3.14
123,Ghostrick Skeleton,Common,2.9
124,Ghostrick Specter,Common,1.41
125,Ghostrick Stein,Common,1.44
126,Ghostrick Vanish,Common,1.56
127,Ghostrick Witch,Common,1.63
128,Ghostrick Yeti,Common,1.33
129,Ghostrick Yuki-onna,Common,1.59
130,Ghostrick-Go-Round,Rare,2.67
131,Gillagillancer,Common,1.28
132,Googly-Eyes Drum Dragon,Common,1.34
133,Gorgonic Cerberus,Common,1.3
134,Gorgonic Gargoyle,Common,1.24
135,Gorgonic Ghoul,Common,1.27
136,Gorgonic Golem,Common,1.28
137,Gorgonic Guardian,Common,1.67
138,Granmarg the Mega Monarch,Secret Rare,3.14
139,Gravekeeper's Ambusher,Common,1.49
140,Gravekeeper's Heretic,Rare,2.75
141,Gravekeeper's Nobleman,Ultra Rare,6.2
142,Gravekeeper's Oracle,Ultra Rare,2.97
143,Gravekeeper's Shaman,Super Rare,3.37
144,Harpie Channeler,Ultra Rare,3.86
145,Harpie's Pet Phantasmal Dragon,Rare,2.36
146,Hidden Temples of Necrovalley,Rare,2.21
147,Hysteric Sign,Super Rare,1.8
148,Imperial Tombs of Necrovalley,Secret Rare,3.18
149,Interceptomato,Common,1.27
150,Interplanetarypurplythorny Beast,Common,1.37
151,King of the Feral Imps,Common,1.35
152,Kujakujaku,Common,1.33
153,Legendary Atlantean Tridon,Common,1.35
154,Madolche Chickolates,Common,1.42
155,Madolche Hootcake,Super Rare,6.44
156,Madolche Nights,Super Rare,2.04
157,Magnum Shield,Common,1.78
158,Malicevorous Fork,Common,1.3
159,Malicevorous Knife,Common,1.3
160,Malicevorous Spoon,Common,1.3
161,"Mariña, Princess of Sunflowers",Super Rare,1.38
162,Masked Chameleon,Ultra Rare,2.29
163,Mecha Phantom Beast Aerosguin,Ultra Rare,1.56
164,Mecha Phantom Beast Blackfalcon,Common,1.33
165,Mecha Phantom Beast Blue Impala,Ultra Rare,1.52
166,Mecha Phantom Beast Coltwing,Common,1.7
167,Mecha Phantom Beast Concoruda,Super Rare,1.37
168,Mecha Phantom Beast Dracossack,Secret Rare,11.07
169,Mecha Phantom Beast Hamstrat,Ultra Rare,1.53
170,Mecha Phantom Beast Harrliard,Common,1.34
171,Mecha Phantom Beast Kalgriffin,Rare,1.42
172,Mecha Phantom Beast Megaraptor,Super Rare,1.82
173,Mecha Phantom Beast Sabre Hawk,Common,1.29
174,Mecha Phantom Beast Stealthray,Common,1.29
175,Mecha Phantom Beast Tetherwolf,Rare,1.81
176,Mecha Phantom Beast Turtletracer,Super Rare,1.33
177,Mecha Phantom Beast Warbluran,Rare,1.57
178,Meliae of the Trees,Secret Rare,3.35
179,Memory Loss,Common,1.31
180,Mermail Abyssbalaen,Ultra Rare,1.33
181,Mermail Abyssocea,Common,1.34
182,Mind Drain,Common,1.61
183,Mistake,Secret Rare,2.7
184,Mobius the Mega Monarch,Secret Rare,2.7
185,Mount Sylvania,Super Rare,1.89
186,Mythic Tree Dragon,Common,1.33
187,Mythic Water Dragon,Common,1.58
188,Number 101: Silent Honor ARK,Ultra Rare,1.92
189,Number 105: Battlin' Boxer Star Cestus,Super Rare,5.58
190,Number 107: Galaxy-Eyes Tachyon Dragon,Ultra Rare,5.81
191,Number 64: Ronin Raccoon Sandayu,Rare,4.75
192,Number 66: Master Key Beetle,Super Rare,1.76
193,Number C101: Silent Honor DARK,Ultra Rare,2.96
194,Number C105: Battlin' Boxer Comet Cestus,Ultra Rare,4.19
195,Obedience Schooled,Super Rare,2.6
196,Photon Chargeman,Common,1.33
197,Pinpoint Guard,Secret Rare,1.79
198,Pot of Dichotomy,Secret Rare,2.44
199,Pumprincess the Princess of Ghosts,Common,1.36
200,Rainbow Kuriboh,Secret Rare,3.11
201,Rank-Up-Magic Astral Force,Ultra Rare,1.85
202,Rank-Up-Magic Barian's Force,Ultra Rare,1.8
203,Rank-Up-Magic Numeron Force,Ultra Rare,3.38
204,Return of the Monarchs,Ultra Rare,4.04
205,Risebell the Star Adjuster,Common,1.31
206,Risebell the Star Psycher,Common,1.32
207,Sacred Sword of Seven Stars,Super Rare,6.91
208,Scramble!! Scramble!!,Ultra Rare,1.37
209,Secret Sect Druid Dru,Common,1.31
210,Secret Sect Druid Wid,Common,1.28
211,Shadow Vampire,Secret Rare,2.63
212,Shapesister,Ultra Rare,1.92
213,Shared Ride,Secret Rare,4.09
214,Shark Fortress,Common,1.49
215,Sinister Yorishiro,Ultra Rare,1.6
216,Skill Prisoner,Super Rare,1.53
217,Sonic Boom,Common,1.25
218,Spellbook of Judgment,Secret Rare,6.74
219,Spellbook of Miracles,Common,1.28
220,Star Eater,Secret Rare,10.15
221,Starliege Lord Galaxion,Super Rare,4.7
222,Starship Spy Plane,Common,1.24
223,Summon Breaker,Common,2.98
224,Super Defense Robot Elephan,Common,1.28
225,Super Defense Robot Lio,Common,1.3
226,Super Defense Robot Monki,Common,1.27
227,Survival of the Fittest,Common,1.29
228,Sylvan Bladefender,Super Rare,1.46
229,Sylvan Blessing,Common,1.28
230,Sylvan Flowerknight,Super Rare,1.52
231,Sylvan Guardioak,Common,1.4
232,Sylvan Hermitree,Ultra Rare,2.98
233,Sylvan Komushroomo,Rare,1.74
234,Sylvan Marshalleaf,Ultra Rare,2.44
235,Sylvan Mikorange,Rare,1.34
236,Sylvan Peaskeeper,Rare,1.44
237,"Talaya, Princess of Cherry Blossoms",Super Rare,1.56
238,The Calibrator,Common,1.31
239,The First Monarch,Secret Rare,1.83
240,The Monarchs Awaken,Common,1.28
241,Torrential Reborn,Secret Rare,4.75
242,Totem Bird,Secret Rare,1.66
243,Transmodify,Secret Rare,2.12
244,Traptrix Atrax,Rare,2.48
245,Traptrix Myrmeleo,Rare,1.89
246,Traptrix Nepenthes,Common,1.67
247,Traptrix Trap Hole Nightmare,Super Rare,4.34
248,Umbral Horror Ghoul,Common,1.28
249,Umbral Horror Unform,Common,1.32
250,Umbral Horror Will o' the Wisp,Common,1.28
251,Vampire Duke,Rare,2.32
252,Vampire Grace,Common,1.7
253,Vampire Hunter,Super Rare,3.27
254,Vampire Kingdom,Common,1.56
255,Vampire Sorcerer,Ultra Rare,2.05
256,Vampire Takeover,Super Rare,1.93
257,Vertical Landing,Common,1.33
258,Wheel of Prophecy,Rare,1.37
259,White Dragon Wyverburster,Common,1.46
260,Windrose the Elemental Lord,Secret Rare,1.55
261,World of Prophecy,Secret Rare,1.84
262,Xyz Block,Common,1.34
263,Xyz Encore,Ultra Rare,17.12
264,Archfiend Commander,Super Rare,0.49
265,Brotherhood of the Fire Fist - Gorilla,Super Rare,0.59
266,Bujingi Crane,Super Rare,0.56
267,Bujintei Susanowo,Platinum Secret Rare,0.69
268,Number 47: Nightmare Shark,Super Rare,0.79
269,1st Movement Solo,Super Rare,2.98
270,A Wild Monster Appears!,Secret Rare,1.57
271,And the Band Played On,Common,1.41
272,Apoqliphort Skybase,Ultra Rare,1.62
273,Aria the Melodious Diva,Common,1.47
274,Artifact Achilleshield,Common,1.27
275,Artifact Aegis,Common,1.29
276,Artifact Beagalltach,Common,1.36
277,Artifact Caduceus,Rare,1.41
278,Artifact Chakram,Common,1.29
279,Artifact Durendal,Ultra Rare,1.57
280,Artifact Failnaught,Common,1.31
281,Artifact Ignition,Ultra Rare,2.29
282,Artifact Labrys,Common,1.28
283,Artifact Lancea,Common,2.6
284,Artifact Moralltach,Super Rare,2.58
285,Artifact Sanctum,Ultra Rare,5.85
286,Artifact Scythe,Super Rare,2.07
287,Artifacts Unleashed,Common,1.27
288,Avalon,Super Rare,1.3
289,Battleguard Howling,Common,1.29
290,Battleguard King,Common,1.26
291,Battleguard Rage,Common,1.3
292,"Baxia, Brightness of the Yang Zing",Secret Rare,6.51
293,"Bi'an, Earth of the Yang Zing",Super Rare,1.96
294,"Bixi, Water of the Yang Zing",Super Rare,1.71
295,Blizzard Thunderbird,Common,1.27
296,Bujin Hirume,Ultra Rare,4.27
297,Bujincident,Common,1.27
298,Bujingi Sinyou,Ultra Rare,1.84
299,Bujinki Amaterasu,Secret Rare,1.85
300,Bujintervention,Common,1.35
301,CXyz Barian Hope,Super Rare,1.67
302,"Cairngorgon, Antiluminescent Knight",Super Rare,1.95
303,Caius the Mega Monarch,Ultra Rare,4.52
304,Canon the Melodious Diva,Common,1.44
305,Celestia,Common,1.28
306,Chain Dispel,Common,1.3
307,"Chiwen, Light of the Yang Zing",Ultra Rare,4.95
308,Cloudcastle,Common,1.34
309,Command Performance,Common,1.28
310,Curse of the Shadow Prison,Common,1.27
311,Dance Princess of the Nekroz,Rare,1.95
312,"Dante, Traveler of the Burning Abyss",Secret Rare,6.54
313,Denko Sekka,Ultra Rare,2.21
314,Deskbot 001,Common,1.38
315,Deskbot 002,Common,1.41
316,Deskbot 003,Common,1.44
317,Djinn Demolisher of Rituals,Common,1.23
318,Doomstar Magician,Ultra Rare,1.55
319,Double Dragon Descent,Common,1.32
320,Draw Muscle,Rare,1.44
321,Echo Oscillation,Common,1.25
322,El Shaddoll Construct,Ultra Rare,2.25
323,El Shaddoll Fusion,Super Rare,1.85
324,El Shaddoll Grysta,Secret Rare,2.29
325,El Shaddoll Shekhinaga,Secret Rare,3.45
326,El Shaddoll Wendigo,Super Rare,1.81
327,El Shaddoll Winda,Ultra Rare,4.84
328,Elegy the Melodious Diva,Common,1.41
329,Escalation of the Monarchs,Super Rare,1.94
330,Eye of the Void,Ultra Rare,1.41
331,Feast of the Wild LV5,Common,1.38
332,"Felis, Lightsworn Archer",Ultra Rare,2.19
333,First of the Dragons,Super Rare,3.06
334,Flash Knight,Rare,1.34
335,Fluffal Bear,Common,2.45
336,Fluffal Cat,Common,1.76
337,Fluffal Dog,Rare,2.6
338,Fluffal Leo,Common,1.32
339,Fluffal Owl,Rare,1.51
340,Fluffal Rabbit,Common,1.44
341,Forbidden Scripture,Secret Rare,1.79
342,Foucault's Cannon,Super Rare,1.31
343,Frightfur Bear,Rare,1.66
344,Frightfur Wolf,Rare,1.55
345,Fusion Reserve,Ultra Rare,1.75
346,Galactic Charity,Common,1.3
347,Galaxy Dragon,Common,1.8
348,Galaxy Mirror Sage,Common,1.3
349,Galaxy Tyranno,Rare,1.5
350,Gem-Knight Lapis,Common,1.68
351,Gladiator Beast Augustus,Rare,3.24
352,Gladiator Beast Nerokius,Secret Rare,2.33
353,Heliosphere Dragon,Common,1.3
354,Herald of Ultimateness,Ultra Rare,2.05
355,Herald of the Arc Light,Super Rare,6.52
356,Hexatellarknight,Common,1.38
357,Hippo Carnival,Common,1.35
358,Hymn of Light,Common,1.38
359,Illusion Balloons,Common,1.29
360,Infernoid Antra,Super Rare,1.82
361,Infernoid Attondel,Common,1.32
362,Infernoid Harmadik,Ultra Rare,3.92
363,Infernoid Onuncu,Secret Rare,3.63
364,Infernoid Patrulea,Rare,1.59
365,Infernoid Piaty,Common,1.32
366,Infernoid Seitsemas,Common,1.36
367,"Jiaotu, Darkness of the Yang Zing",Ultra Rare,4.59
368,Jinzo - Jector,Super Rare,1.73
369,Laser Qlip,Common,1.3
370,Last Minute Cancel,Common,1.28
371,Level Lifter,Common,1.36
372,Lightning Rod Lord,Super Rare,1.34
373,Lindbloom,Common,1.27
374,Madolche Anjelly,Ultra Rare,7.03
375,Magical Spring,Secret Rare,2.42
376,Metaphys Armed Dragon,Common,1.3
377,Metaphys Horus,Ultra Rare,1.57
378,Mimiclay,Common,1.27
379,Mozarta the Melodious Maestra,Rare,2.19
380,Nekroz Cycle,Rare,1.79
381,Nekroz of Gungnir,Secret Rare,2.18
382,Nephe Shaddoll Fusion,Secret Rare,1.87
383,Night Dragolich,Ultra Rare,1.57
384,Noble Knight Brothers,Secret Rare,2.97
385,Noble Knight Eachtar,Super Rare,1.38
386,Noble Knights of the Round Table,Ultra Rare,1.34
387,Number 39: Utopia Beyond,Super Rare,3.85
388,Number 42: Galaxy Tomahawk,Common,1.58
389,Number 43: Manipulator of Souls,Common,1.47
390,Number 48: Shadow Lich,Common,1.59
391,Number 58: Burner Visor,Common,1.48
392,Number 62: Galaxy-Eyes Prime Photon Dragon,Ultra Rare,5.39
393,Number 99: Utopic Dragon,Secret Rare,5.96
394,Number C102: Archfiend Seraph,Super Rare,1.81
395,Number C107: Neo Galaxy-Eyes Tachyon Dragon,Super Rare,3.02
396,Number C43: High Manipulator of Chaos,Rare,1.46
397,Oracle of the Herald,Common,1.37
398,"Orea, the Sylvan High Arbiter",Secret Rare,5.31
399,Panzer Dragon,Rare,1.81
400,Pendulum Shift,Common,1.29
401,Performapal Call,Common,1.3
402,Performapal Cheermole,Rare,1.39
403,Performapal Fire Mufflerlion,Common,1.3
404,Performapal Friendonkey,Common,1.3
405,Performapal Hip Hippo,Common,1.3
406,Performapal Kaleidoscorp,Rare,1.33
407,Performapal Partnaga,Common,1.29
408,Performapal Revival,Common,1.32
409,Performapal Skeeter Skimmer,Common,1.3
410,Performapal Spikeagle,Common,1.28
411,Performapal Stamp Turtle,Common,1.3
412,Performapal Sword Fish,Common,1.3
413,Performapal Trampolynx,Rare,1.35
414,Performapal Trump Witch,Rare,1.32
415,Performapal Turn Toad,Rare,1.36
416,Performapal Whip Snake,Rare,1.36
417,Phonon Pulse Dragon,Rare,1.66
418,Pot of Riches,Secret Rare,2.12
419,"Pulao, Wind of the Yang Zing",Super Rare,1.55
420,Punch-in-the-Box,Common,1.36
421,Qlimate Change,Common,1.32
422,Qliphort Disk,Secret Rare,2.57
423,Qliphort Scout,Ultra Rare,2.31
424,Qliphort Stealth,Ultra Rare,3.37
425,Qlipper Launch,Common,1.3
426,Raidraptor - Nest,Rare,1.44
427,Raidraptor - Readiness,Common,1.31
428,Raidraptor - Rise Falcon,Common,1.39
429,Raidraptor - Vanishing Lanius,Common,1.72
430,Raiza the Mega Monarch,Secret Rare,4.22
431,Rank-Up-Magic - The Seventh One,Secret Rare,2.06
432,Re-qliate,Common,1.32
433,Rune-Eyes Pendulum Dragon,Ultra Rare,1.82
434,"Saffira, Queen of Dragons",Ultra Rare,2.21
435,"Samsara, Dragon of Rebirth",Super Rare,2.21
436,Saqlifice,Ultra Rare,2.69
437,Satellarknight Altair,Rare,1.44
438,Satellarknight Betelgeuse,Common,1.3
439,Satellarknight Capella,Common,1.31
440,Satellarknight Deneb,Ultra Rare,21.73
441,Satellarknight Procyon,Common,1.29
442,Satellarknight Sirius,Rare,1.58
443,Satellarknight Skybridge,Rare,2.97
444,Satellarknight Unukalhai,Common,1.36
445,Satellarknight Vega,Common,1.46
446,Serenade the Melodious Diva,Common,1.35
447,Shaddoll Beast,Rare,2.22
448,Shaddoll Core,Super Rare,2.23
449,Shaddoll Dragon,Rare,1.99
450,Shaddoll Falco,Rare,1.48
451,Shaddoll Fusion,Super Rare,2.8
452,Shaddoll Hedgehog,Common,1.37
453,Shaddoll Hound,Common,1.29
454,Shaddoll Squamata,Common,1.66
455,Shopina the Melodious Maestra,Rare,2.09
456,Sinister Shadow Games,Ultra Rare,3.25
457,Sky Cavalry Centaurea,Ultra Rare,3.17
458,Solemn Scolding,Secret Rare,4.47
459,Sonata the Melodious Diva,Common,1.41
460,Soul Strike,Common,1.31
461,Stellarknight Alpha,Common,1.27
462,Stellarknight Constellar Diamond,Ultra Rare,6.22
463,Stellarknight Delteros,Secret Rare,5.33
464,Stellarknight Triverr,Ultra Rare,5.1
465,Stellarnova Alpha,Ultra Rare,7.6
466,Stellarnova Wave,Common,1.27
467,Strike of the Monarchs,Common,1.31
468,"Suanni, Fire of the Yang Zing",Super Rare,2.06
469,Superheavy Samurai Big Benkei,Rare,2.31
470,Superheavy Samurai Blue Brawler,Common,1.34
471,Superheavy Samurai Flutist,Super Rare,3.91
472,Superheavy Samurai Kabuto,Common,1.29
473,Superheavy Samurai Scales,Rare,10.99
474,Superheavy Samurai Soulbang Cannon,Common,1.36
475,Superheavy Samurai Soulbeads,Common,1.3
476,Superheavy Samurai Soulbreaker Armor,Common,1.36
477,Superheavy Samurai Soulfire Suit,Common,1.29
478,Superheavy Samurai Soulpiercer,Common,7.12
479,Superheavy Samurai Soulshield Wall,Common,1.34
480,Superheavy Samurai Swordsman,Common,1.3
481,Superheavy Samurai Trumpeter,Super Rare,4.64
482,Swordsman of Revealing Light,Ultra Rare,2.09
483,Sylvan Charity,Ultra Rare,1.99
484,Sylvan Cherubsprout,Common,1.32
485,Sylvan Lotuswain,Common,1.3
486,Sylvan Princessprout,Super Rare,3.1
487,Sylvan Sagequoia,Ultra Rare,1.7
488,Sylvan Snapdrassinagon,Rare,1.32
489,Sylvan Waterslide,Common,1.3
490,Tachyon Chaos Hole,Super Rare,2.27
491,"Taotie, Shadow of the Yang Zing",Super Rare,1.37
492,Tenacity of the Monarchs,Rare,3.28
493,The Monarchs Erupt,Super Rare,1.65
494,The Monarchs Stormforth,Common,1.39
495,The Phantom Knights of Shadow Veil,Common,1.39
496,Thestalos the Mega Monarch,Secret Rare,2.58
497,Time-Space Trap Hole,Secret Rare,5.12
498,Toy Knight,Common,1.29
499,Toy Vendor,Common,1.61
500,Traptrix Dionaea,Rare,1.95
501,Uni-Zombie,Common,1.98
502,Vampire Vamp,Super Rare,1.97
503,"Virgil, Rock Star of the Burning Abyss",Secret Rare,1.76
504,Void Expansion,Rare,1.4
505,Void Launch,Super Rare,1.31
506,Void Seer,Super Rare,1.5
507,Wall of Disruption,Common,1.71
508,Wonder Balloons,Common,1.31
509,Yang Zing Brutality,Common,1.36
510,Yang Zing Creation,Ultra Rare,2.01
511,Yang Zing Path,Secret Rare,2.02
512,Yang Zing Prana,Common,1.35
513,Yang Zing Unleashed,Common,1.31
514,"Yazi, Evil of the Yang Zing",Secret Rare,5.99
515,Zaborg the Mega Monarch,Ultra Rare,2.56
516,"Castel, the Skyblaster Musketeer",Super Rare,0.59
517,Dark Rebellion Xyz Dragon,Platinum Secret Rare,3.99
518,Elder Entity Norden,Super Rare,0.91
519,Majesty's Fiend,Super Rare,0.42
520,Odd-Eyes Pendulum Dragon,Platinum Secret Rare,2.26
521,Old Entity Hastorr,Super Rare,0.49
522,Abyss Stungray,Common,1.43
523,Aegaion the Sea Castrum,Common,1.33
524,Al-Lumi'raj,Common,1.29
525,Arisen Gaia the Fierce Knight,Rare,3.0
526,Aroma Garden,Common,2.61
527,Aroma Jar,Common,1.9
528,Aromage Cananga,Common,1.51
529,Assault Blackwing - Kunai the Drizzle,Rare,1.69
530,Assault Blackwing - Raikiri the Rain Shower,Ultra Rare,5.14
531,Back-Up Rider,Common,1.31
532,Bad Luck Blast,Common,1.28
533,Balance of Judgment,Common,1.39
534,Beginning Knight,Super Rare,5.48
535,Bird of Paradise Lost,Common,1.41
536,Black Luster Soldier - Super Soldier,Ultra Rare,10.36
537,Blackwing - Harmattan the Dust,Common,3.84
538,Bloom Diva the Melodious Choir,Ultra Rare,1.76
539,Brilliant Fusion,Super Rare,1.69
540,Brilliant Spark,Common,1.3
541,Bubble Barrier,Common,1.28
542,"Buster Blader, the Destruction Swordmaster",Ultra Rare,2.13
543,"Buster Blader, the Dragon Destroyer Swordsman",Secret Rare,4.93
544,Charging Gaia the Fierce Knight,Ultra Rare,2.21
545,Clear Wing Synchro Dragon,Secret Rare,3.19
546,Contract Laundering,Common,1.31
547,Cyber Dragon Infinity,Secret Rare,8.47
548,Cybernetic Fusion Support,Common,1.39
549,D/D Berfomet,Rare,2.56
550,D/D Necro Slime,Common,1.62
551,D/D Pandora,Common,1.28
552,D/D Savant Galilei,Common,1.33
553,D/D Savant Kepler,Common,1.65
554,D/D Swirl Slime,Common,1.8
555,D/D/D Contract Change,Common,1.65
556,D/D/D Duo-Dawn King Kali Yuga,Super Rare,1.5
557,D/D/D Human Resources,Common,1.31
558,D/D/D Marksman King Tell,Rare,4.66
559,D/D/D Oracle King d'Arc,Rare,2.29
560,D/D/D Rebel King Leonidas,Super Rare,1.95
561,D/D/D Wave Oblivion King Caesar Ragnarok,Super Rare,2.34
562,Dark Contract with Errors,Common,1.35
563,Dark Contract with the Gate,Common,1.9
564,Dark Contract with the Swamp King,Common,1.35
565,Dark Contract with the Witch,Common,1.34
566,Dark Doriado,Common,1.27
567,Designer Frightfur,Common,1.38
568,Deskbot 004,Common,1.74
569,Deskbot 005,Common,1.9
570,Deskbot 006,Common,1.46
571,Deskbot 007,Common,1.33
572,Deskbot 008,Common,1.36
573,Deskbot Jet,Common,1.37
574,Destruction Sword Flash,Common,1.77
575,Destruction Swordsman Fusion,Common,1.56
576,Diceversity,Common,1.29
577,Dinomic Powerload,Common,1.32
578,Dinomist Brachion,Common,1.48
579,Dinomist Ceratops,Common,1.44
580,Dinomist Charge,Common,3.05
581,Dinomist Plesios,Common,1.57
582,Dinomist Pteran,Rare,2.52
583,Dinomist Rex,Super Rare,1.48
584,Dinomist Rush,Common,1.35
585,Dinomist Stegosaur,Common,1.45
586,"Dogoran, the Mad Flame Kaiju",Rare,2.96
587,Doomdog Octhros,Common,2.17
588,Dr. Frankenderp,Common,1.35
589,Dragon Buster Destruction Sword,Common,1.93
590,Dragon's Bind,Common,1.52
591,Edge Imp Chain,Common,2.67
592,Edge Imp Frightfuloid,Common,1.45
593,Edge Imp Saw,Common,1.36
594,Engraver of the Mark,Common,1.32
595,Evening Twilight Knight,Super Rare,10.78
596,Extinction on Schedule,Common,1.25
597,Extra Buck,Rare,1.34
598,Ferret Flames,Common,2.15
599,Fiend Griefing,Common,1.7
600,First-Aid Squad,Common,1.26
601,Fluffal Crane,Common,2.52
602,Fluffal Mouse,Super Rare,1.75
603,Fluffal Sheep,Common,2.12
604,Follow Wing,Common,1.32
605,Forbidden Apocrypha,Common,1.26
606,Frightfur Chimera,Rare,1.5
607,Frightfur Factory,Common,1.55
608,Frightfur Fusion,Rare,1.72
609,Frightfur March,Common,2.01
610,Frightfur Sabre-Tooth,Ultra Rare,1.69
